,user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,lon,lat,stateName
1,468675506,1.1015E+18,1551454084,robertsantosvo,"A reminder to wash our hands thoroughly, especially during the flu season. https://t.co/WJGD7VKOso",Twitter Web Client,74,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,twitter.com/ABC/status/110…,https://t.co/WJGD7VKOso,https://twitter.com/ABC/status/1101482708927156224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,1.10148E+18,"SQUEAKY CLEAN: Cinta the rescue center orangutan, whose name means ""love"" in Indonesian, is caught on camera giving a lesson in hand hygiene. https://t.co/xn6jfG7ZGo https://t.co/ADDmN5lW3Q",1551448917,SocialFlow,894,238,28785486,ABC,ABC News,14160740,556,242802,New York City / Worldwide,"All the news and information you need to see, curated by the @ABC News team. Instagram: https://t.co/pPlGmNHztz",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/robertsantosvo/status/1101504380954542080,Robert Santos,"El Segundo, CA","Spectrum News 1 Meteorologist. Also, in my spare time, I enjoy creating videos about life, travel, health and wellness.",https://t.co/nEYUAIFhBi,FALSE,4085,958,92,2562,784,1327003007,FALSE,https://t.co/nEYUAIFhBi,http://vimeopro.com/tvtalent/robert-santos,en,https://pbs.twimg.com/profile_banners/468675506/1539406451,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/895079358271897600/8POiOecx_normal.jpg,-118.4164652,33.9191799,California
2,430400648,1.1015E+18,1551454081,KosforConcern,"much to everyone's dismay I'm still alive, just have a really bad case of the flu and looking at my phone was like looking at the sun from 5 meters away.",Twitter for Android,153,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/KosforConcern/status/1101504371379093506,zach<U+2639>,Antonio,"La vie est belle, et vous êtes comme la vie.",https://t.co/Aq5UFtDirW,FALSE,2028,1135,53,67776,293666,1323229873,FALSE,https://t.co/Aq5UFtDirW,http://tumblr.com/blog/kolasisnack,en,https://pbs.twimg.com/profile_banners/430400648/1551023345,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1099697735375179776/9Gy-goXW_normal.jpg,-95.712891,37.09024,Kansas
3,295969358,1.1015E+18,1551454033,Crystal_Aguilar,@soysaucekillz Did you get the flu shot Mija??,Twitter for iPhone,31,1.10149E+18,7.6449E+17,soysaucekillz,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6449E+17,soysaucekillz,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/Crystal_Aguilar/status/1101504169100247041,CrystalRenee,Fresno,,NA,FALSE,552,272,2,35422,6471,1304985358,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/295969358/1536038802,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1036848534060904448/hQ4AHVCE_normal.jpg,-119.7871247,36.7377981,California
4,387980406,1.1015E+18,1551454031,moniqueee_h,"The day I’m supposed to go see Cardi B, I wake up with the Flu <U+0001F611> that’s how my day is going so far",Twitter for iPhone,98,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/moniqueee_h/status/1101504159801622528,Heather Hooey <U+2764><U+FE0F>,"Houston, TX",Favor Peace & Blessings | RestEasyDavid | UTSA Alumni,NA,FALSE,386,250,0,6582,2717,1318205152,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/387980406/1548004198,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/997607498445217794/zFCnVJTt_normal.jpg,-95.3698028,29.7604267,Texas
5,16588346,1.1015E+18,1551454003,IssaMeBrianO,Yall. My roommate has the flu. I am terrified. #PleaseDontGetMeSick #ICantRightNow,Twitter Web Client,82,NA,NA,NA,FALSE,FALSE,0,0,"c(""PleaseDontGetMeSick"", ""ICantRightNow"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/IssaMeBrianO/status/1101504044529520641,We’ll Have A Gay Old Time,"Minneapolis, MN","Just a single southern gay living in a northern world. Discovered #GayTwitter & here for all the gifs, hot tea, & whatever else it has to offer. He/him/his.",NA,FALSE,564,1605,8,13228,6064,1223094337,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/16588346/1549332926,http://abs.twimg.com/images/themes/theme15/bg.png,http://pbs.twimg.com/profile_images/1092607590104686592/ftql_5uB_normal.jpg,-93.2650108,44.977753,Minnesota
6,381878204,1.1015E+18,1551454003,crystalledrew,@_BriBabyx3 My daughter got the flu then one day later I got the flu. Still dealing with it today. That was a couple of days ago we got it. Hope you and your kids get better soon. Well wishes <U+2764><U+FE0F><U+0001F64F>,Twitter for iPhone,183,1.10148E+18,3068614884,_BriBabyx3,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3068614884,_BriBabyx3,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/crystalledrew/status/1101504041694257152,crystal Dent,streetsboro ohio,,NA,FALSE,30,305,0,79,256,1317265310,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/381878204/1396504022,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/761394626100068352/sqwMgxRl_normal.jpg,-81.3459405,41.2392227,Ohio
7,1.07797E+18,1.1015E+18,1551454001,j_journee,I really hope im not gettin the flu,Twitter for iPhone,35,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/j_journee/status/1101504034677108738,Jasmine <U+0001F48B><U+0001F339>,"Chicago, IL",Aime moi pour ce que je suis,NA,FALSE,46,72,0,662,555,1545843408,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/1077971499590537217/1549938594,NA,http://pbs.twimg.com/profile_images/1095147954690801664/J2oBwz3O_normal.jpg,-87.6297982,41.8781136,Illinois
8,634449345,1.1015E+18,1551453992,GingerRell101,@attackontink Same here all week has been midterms. And still have one that's online and that's due on Sunday(technically Monday since its due a midnight). And I caught the cold/flu because people dont know how to cover they damn mouths. Luckily it's Spri,Twitter for Android,279,1.1015E+18,4029592396,attackontink,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029592396,attackontink,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/GingerRell101/status/1101503997071015936,MrDarkace28,"Philadelphia, PA","Foodie Guy. Video Game Guy. Comic Book Lover. Jamaican at heart. One love
Twitter:GingerRell101
IG:@gingerrell101",NA,FALSE,85,879,3,3126,900,1342163781,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/634449345/1530303008,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1012790341110464512/sVB_aGcJ_normal.jpg,-75.1652215,39.9525839,Pennsylvania
9,8.66464E+17,1.1015E+18,1551453968,DrCorriel,"@drjessigold @darakass @doctorjenn @DrJenGunter @choo_ek @jbeckesmay @MBlumenthalCT @CoherenceMed @janevandis @DrJRMarcelin @GynAndTonic @MichaelaWst This doc is in bed with the flu, and still I stand with #TimesUpHC w/my friends &amp; colleagues who put ",Twitter for iPhone,284,1.10147E+18,7.85969E+17,drjessigold,FALSE,FALSE,1,0,"c(""TimesUpHC"", ""healthcare"")",NA,NA,NA,NA,http://pbs.twimg.com/media/D0lT862WoAAbkoO.jpg,https://t.co/bW7UNUg3xX,https://twitter.com/DrCorriel/status/1101503897447919616/photo/1,photo,http://pbs.twimg.com/media/D0lT862WoAAbkoO.jpg,https://t.co/bW7UNUg3xX,https://twitter.com/DrCorriel/status/1101503897447919616/photo/1,NA,"c(""785968989092446209"", ""738796494"", ""16987359"", ""25728193"", ""467924781"", ""2387065697"", ""978832896323702784"", ""2717607301"", ""1669325431"", ""959074945144967169"", ""505888450"", ""2291452638"", ""964220316686979072"", ""987321611329130496"")","c(""drjessigold"", ""darakass"", ""doctorjenn"", ""DrJenGunter"", ""choo_ek"", ""jbeckesmay"", ""MBlumenthalCT"", ""CoherenceMed"", ""janevandis"", ""DrJRMarcelin"", ""GynAndTonic"", ""MichaelaWst"", ""PROWDWomen"", ""somedocs"")",en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/DrCorriel/status/1101503897447919616,"Dana Corriel, MD","Pearl River, NY","Blending Original <U+270D><U+0001F3FC> & <U+0001F4F8>, then Feeding Concoction to Unsuspecting Twitter Followers | @SoMeDocs Founder | Tweets = my views #twitternist.",https://t.co/5SGjDMpyzq,FALSE,4066,1901,54,4194,4630,1495416148,FALSE,https://t.co/5SGjDMpyzq,http://www.drcorriel.com,en,https://pbs.twimg.com/profile_banners/866464244124057603/1529506159,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1059922132891824128/UMtgQQc6_normal.jpg,-74.0218063,41.0589855,New York
10,15633625,1.1015E+18,1551453923,femion,I have a surprise flu and saw Michael B for the first time today. Luckily I managed not to puke until he had left the room.,Twitter Web App,123,NA,NA,NA,FALSE,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/femion/status/1101503709379526657,Catherine Holloway,"NYC, New York",Ex-physicist software developer. She/her,https://t.co/GRGdvSMNnw,FALSE,742,792,40,3511,1449,1217260935,FALSE,https://t.co/GRGdvSMNnw,http://Catherine.github.io,en,https://pbs.twimg.com/profile_banners/15633625/1405272094,http://abs.twimg.com/images/themes/theme2/bg.gif,http://pbs.twimg.com/profile_images/604436044482674688/dhcELvQA_normal.jpg,-74.0059728,40.7127753,New York
